Dec;Hexa;Instruction;Natural size;Instruction CB;Size CB;Instruction ED;Size ED;Instruction DD;Size DD;Instruction FD;Size FD;Instruction DDCB;Size DDCB;Instruction FDCB;Size FDCB;
182;B6;;1;;1;;;OR (IX+d);2;OR (IY+d);2;RES 6,(IX+D);2;RES 6,(IX+D);2;inverted bytes
183;B7;;1;;1;;;;;;;;;;;
184;B8;;1;;1;LDDR;1;;;;;;;;;
185;B9;;1;;1;CPDR;1;;;;;;;;;
186;BA;;1;;1;INDR;1;;;;;;;;;
187;BB;;1;;1;OTDR;1;;;;;;;;;
188;BC;;1;;1;;;;;;;;;;;
189;BD;;1;;1;;;;;;;;;;;
190;BE;;1;;1;;;CP (IX+d);2;CP (IY+d);2;RES 7,(IX+D);2;RES 7,(IX+D);2;inverted bytes
191;BF;;1;;1;;;;;;;;;;;
192;C0;RET NZ;1;;1;;;;;;;;;;;
193;C1;POP BC;1;;1;;;;;;;;;;;
194;C2;JP NZ,nn;3;;1;;;;;;;;;;;
195;C3;JP nn;3;;1;;;;;;;;;;;
196;C4;CALL NZ,nn;3;;1;;;;;;;;;;;
197;C5;PUSH BC;1;;1;;;;;;;;;;;
198;C6;ADD A,n;2;;1;;;;;;;SET 0,(IX+D);2;SET 0,(IY+D);2;inverted bytes
199;C7;RST 0;1;;1;;;;;;;;;;;
200;C8;RET Z;1;;1;;;;;;;;;;;
201;C9;RET;1;;1;;;;;;;;;;;
202;CA;JP Z,nn;3;;1;;;;;;;;;;;
203;CB;;;;;;;;;;;;;;;
204;CC;CALL Z,nn;3;;1;;;;;;;;;;;
205;CD;CALL nn;3;;1;;;;;;;;;;;
206;CE;ADC A,n;2;;1;;;;;;;SET 1,(IX+D);2;SET 1,(IY+D);2;inverted bytes
207;CF;RST 8;1;;1;;;;;;;;;;;
208;D0;RET NC;1;;1;;;;;;;;;;;
209;D1;POP DE;1;;1;;;;;;;;;;;
210;D2;JP NC,nn;3;;1;;;;;;;;;;;
211;D3;OUT (n),A;2;;1;;;;;;;;;;;
212;D4;CALL NC,nn;3;;1;;;;;;;;;;;
213;D5;PUSH DE;1;;1;;;;;;;;;;;
214;D6;SUB n;2;;1;;;;;;;SET 2,(IX+D);2;SET 2,(IY+D);2;inverted bytes
215;D7;RST 16;1;SET b,r;1;;;;;;;;;;;
216;D8;RET C;1;;1;;;;;;;;;;;
217;D9;EXX;1;;1;;;;;;;;;;;
218;DA;JP C,nn;3;;1;;;;;;;;;;;
219;DB;IN A,(n);2;;1;;;;;;;;;;;
220;DC;CALL C,nn;3;;1;;;;;;;;;;;
221;DD;;;;;;;;;;;;;;;
222;DE;SBC a,n;2;;1;;;;;;;SET 3,(IX+D);2;SET 3,(IY+D);2;inverted bytes
223;DF;RST 24;1;;1;;;;;;;;;;;
224;E0;RET PO;1;;1;;;;;;;;;;;
225;E1;POP HL;1;;1;;;POP IX;1;POP IY;1;;;;;
226;E2;JP PO,nn;3;;1;;;;;;;;;;;
227;E3;EX (SP),HL;1;;1;;;EX (SP),IX;1;EX (SP),IY;1;;;;;
228;E4;CALL PO,nn;3;;1;;;;;;;;;;;
229;E5;PUSH HL;1;;1;;;PUSH IX;1;PUSH IY;1;;;;;
230;E6;AND n;2;;1;;;;;;;SET 4,(IX+D);2;SET 4,(IY+D);2;inverted bytes
231;E7;RST 32;1;;1;;;;;;;;;;;
232;E8;RET PE;1;;1;;;;;;;;;;;
233;E9;JP (HL);1;;1;;;JP (IX);1;JP (IY);1;;;;;
234;EA;JP PE,nn;3;;1;;;;;;;;;;;
235;EB;EX DE,HL;1;;1;;;;;;;;;;;
236;EC;CALL PE,nn;3;;1;;;;;;;;;;;
237;ED;;;;;;;;;;;;;;;
238;EE;XOR n;2;;1;;;;;;;SET 5,(IX+D);2;SET 5,(IY+D);2;inverted bytes
239;EF;RST 40;1;;1;;;;;;;;;;;
240;F0;RET P;1;;1;;;;;;;;;;;
241;F1;POP AF;1;;1;;;;;;;;;;;
242;F2;JP P,nn;3;;1;;;;;;;;;;;
243;F3;DI;1;;1;;;;;;;;;;;
244;F4;CALL P,nn;3;;1;;;;;;;;;;;
245;F5;PUSH AF;1;;1;;;;;;;;;;;
246;F6;OR n;2;;1;;;;;;;SET 6,(IX+D);2;SET 6,(IX+D);2;inverted bytes
247;F7;RST 48;1;;1;;;;;;;;;;;
248;F8;RET M;1;;1;;;;;;;;;;;
249;F9;LD SP,HL;1;;1;;;LD SP,IX;1;LD SP,IY;1;;;;;
250;FA;JP M,nn;3;;1;;;;;;;;;;;
251;FB;EI;1;;1;;;;;;;;;;;
252;FC;CALL M,nn;3;;1;;;;;;;;;;;
253;FD;;;;;;;;;;;;;;;
254;FE;CP n;2;;1;;;;;;;SET 7,(IX+D);2;SET 7,(IX+D);2;inverted bytes
255;FF;RST 56;1;;1;;;;;;;;;;;
